Kod sklepu;Kod segmentu;Data od;Data do;Nazwa planogramu;Wersja planogramu;Opis planogramu;Numer półki;Pozycja;Index;Nazwa;Liczba twarzy;Sposób ekspozycji
Text;Int;Text;Text;Text;Text;Text;Int;Int;Text;Text;Int;Int
shop_planogram_assignment.shop.codes;shop_planogram_assignment.segment.id;shop_planogram_assignment.start_date_time;shop_planogram_assignment.end_date_time;planogram.name;planogram.version;planogram.description;planogram_element.shelf;planogram_element.position;planogram_element.sku.index;planogram_element.sku.name;planogram_element.faces_count;planogram_element.stack_count
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;6;54;12003706;SMOOTHIE FOODINI SMACZ. ZIELONY 250ML M...;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;6;55;12003663;SMOOTHIE FOODINI EGZOTYCZ.ŻÓŁTY 250ML ...;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;6;56;12003715;SMOOTHIE FOODINI KOJĄCO ZIELONY 250ML ...;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;6;57;12003699;SMOOTHIE FOODINI JOGURT RÓŻOWY 250ML ...;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;6;58;12003662;SMOOTHIE FOODINI RAJSKO KREMOWY 250M...;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;6;59;12003716;SMOOTHIE FOODINI SŁONECZ. ŻÓŁTY 250ML ...;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;6;60;12005286;OWOCE MIX KAWAŁKI KUBEK 200G;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;6;61;12005260;ANANAS KAWAŁKI KUBEK 200G;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;6;62;12004044;KULKI RYŻOWE Z MANGO I MARKUJĄ 125G MW;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;6;63;12005456;KULKI RYŻOWE MALINA PORZECZKA 125G MW;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;7;33;20000232;SOKI W BUTELCE 7 DNIOWE MIX 2 REG;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;7;34;10900593;WODA NAŁĘCZOWIANKA 0,5L NGAZ PET;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;7;35;12004146;NAPÓJ SOTI BIO NAT ROIBOS IMBIR 340ML;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;7;36;12001071;KAWA COLD BREW CLASSIC 220ML;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;7;37;12004347;LEMONIADA WYCISK CYTRYNOWA 400ML MW;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;7;38;12004481;LEMONIADA WYCISK GREJPF. TRUSK, 400ML ...;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;7;39;12004365;SOK WYCISK POMARAŃCZOWY 250ML MW;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;7;40;12004487;SOK WYCISK POMARAŃCZA,GREJPFRUT 250M...;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;7;41;12004332;SOK WYCISK POMAR/MARAKUJA/MACA 250M...;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;7;42;12004463;SOK WYCISK AWOCADO SZPINAK 250ML MW;1;1
